"milis","mailing list","",""
"miras","minuman keras","",""
"mkanan","makanan","",""
"mkn","makan","",""
"mksd","maksud","",""
"mlah","malah","",""
"mlm","malam","",""
"mls","malas","",""
"mmbberikan","memberikan","",""
"mngkn","mungkin","",""
"mnt","minta","",""
"mntap","mantap","",""
"mnyeberang","menyeberang","",""
"mo","mau","",""
"moderen","modern","",""
"moga","semoga","",""
"moge","motor gede","",""
"mele0as","melepas","",""
"melu","ikut","",""
"membentu","membantu","",""
"memokau","memukau","",""
"mempeaona","mempesona","",""
"menabjubkan","menakjubkan","",""
"menarik","menarik","",""
"mending","lebih baik","",""
"menyenangkan","menyenangkan","",""
"menyenankan","menyenangkan","",""
"menyompan","menyimpan","",""
"mepet","dekat sekali","",""
"mesjid","masjid","",""
"mgkn","mungkin","",""
"mgu","minggu","",""
"mhn","mohon","",""
"migas","minyak dan gas bumi","",""
"munaslub","musyawarah nasional luar biasa","",""
"muntaber","muntah dan berak","",""
"murce","murah","",""
"murmer","murah meriah","",""
"musda","musyawarah daerah","",""
"mushalla","musala","",""
"mushola","musala","",""
"musholla","musala","",""
"musium","museum","",""
"musola","musala","",""
"musolla","musala","",""
"musti","mesti","",""
"muup","maaf","",""
"muupz","maaf","",""
"muuv","maaf","",""
"mw","mau","",""
"munas","musyawarah nasional","",""
"mumpung","selagi","",""
"muna","munafik","",""
"n","dan","",""
"mokad","mati","",""
"mokat","mati","",""
"moso","masa","",""
"mosok","masa","",""
"mpe","sampai","",""
"msh","masih","",""
"msk","masuk","",""
"mskpn","meskipun","",""
"mslh","masalah","",""
"msng2","masing masing","",""
"mt","makan teman","",""
"muahal","mahal","",""
"mubes","musyawarah besar","",""
"muker","musyawarah kerja","",""
"mulu","melulu","",""
"mumet","pusing","",""
"nax","anak","",""
"nda","tidak","",""
"ndak","tidak","",""
"ndiri","sendiri","",""
"ndut","gendut","",""
"ne","ini","",""
"nekolim","neokolonialisme","",""
"nekolin","neokolonialisme","",""
"nelfon","menelepon","",""
"memancing","memancing","",""
"nembak","menyatakan cinta","",""
"ngabis2in","menghabiskan","",""
"ngabuburit","menunggu berbuka puasa","",""
"ngak","tidak","",""
"ngakak","tertawa","",""
"ngaku","mengaku","",""
"ngambek","marah","",""
"ngambil","mengambil","",""
"ngampus","pergi ke kampus","",""
"nganggur","tidak punya pekerjaan","",""
"nal","kenal","",""
"nampai","nampak","",""
"nan","yang","",""
"nanam","menanam","",""
"banget","sangat","",""
"nangis","menangis","",""
"nanya","bertanya","",""
"naon","apa","",""
"napa","kenapa","",""
"napi","narapidana","",""
"napol","narapidana politik  narkotika  alkohol  psikotropika  dan zat adiktif","",""
"napza","narkotika  psikotropika  dan zat adiktif","",""
"naq","anak","",""
"narkoba","narkotika  psikotropika  dan obat terlarang","",""
"narsis","bangga pada diri sendiri","",""
"nasgor","nasi goreng","",""
"ngerti","mengerti","",""
"ngga","tidak","",""
"ngak","tidak","",""
"ngibul","berbohong","",""
"ngikut","ikut","",""
"ngiler","mau","",""
"nginep","menginap","",""
"ngiri","iri","",""
"ngisi","mengisi","",""
"ngisitin","mengisikan","",""
"nglawan","melawan","",""
"ngmg","bicara","",""
"ngocol","lucu","",""
"ngomong","bicara","",""
"ngomongin","membicarakan","",""
"ngubek2","mencari cari","",""
"ngumpul","berkumpul","",""
"ngurus","mengurus","",""
"ni","ini","",""
"ngantri","mengantre","",""
"ngapah","kenapa","",""
